municipio_id,stat_date,type_establecimiento,count,seats
173,"Sat, 01 Jan 2011 00:00:00",Hotel,7,233
173,"Sat, 01 Jan 2011 00:00:00",TurismoRural,9,63
174,"Sat, 01 Jan 2011 00:00:00",Hotel,2,81
175,"Sat, 01 Jan 2011 00:00:00",Hotel,15,727
175,"Sat, 01 Jan 2011 00:00:00",Camping,1,200
175,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,24
175,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,14
176,"Sat, 01 Jan 2011 00:00:00",Hotel,2,101
176,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,16
178,"Sat, 01 Jan 2011 00:00:00",Camping,1,168
178,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,8
178,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,12
179,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
180,"Sat, 01 Jan 2011 00:00:00",Hotel,1,8
180,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,19
181,"Sat, 01 Jan 2011 00:00:00",Hotel,2,34
181,"Sat, 01 Jan 2011 00:00:00",Camping,1,300
181,"Sat, 01 Jan 2011 00:00:00",TurismoRural,4,41
181,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,24
182,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
182,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,28
183,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,19
184,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
186,"Sat, 01 Jan 2011 00:00:00",Hotel,3,80
186,"Sat, 01 Jan 2011 00:00:00",TurismoRural,16,139
186,"Sat, 01 Jan 2011 00:00:00",Apartamento,4,116
187,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,4
188,"Sat, 01 Jan 2011 00:00:00",Hotel,3,34
188,"Sat, 01 Jan 2011 00:00:00",TurismoRural,6,38
188,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,24
189,"Sat, 01 Jan 2011 00:00:00",Hotel,3,84
190,"Sat, 01 Jan 2011 00:00:00",Hotel,5,386
190,"Sat, 01 Jan 2011 00:00:00",Camping,1,90
190,"Sat, 01 Jan 2011 00:00:00",TurismoRural,5,36
191,"Sat, 01 Jan 2011 00:00:00",Hotel,2,132
191,"Sat, 01 Jan 2011 00:00:00",TurismoRural,5,34
191,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,18
193,"Sat, 01 Jan 2011 00:00:00",TurismoRural,4,32
194,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,34
195,"Sat, 01 Jan 2011 00:00:00",Hotel,5,208
195,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,14
196,"Sat, 01 Jan 2011 00:00:00",Camping,1,212
196,"Sat, 01 Jan 2011 00:00:00",TurismoRural,10,91
196,"Sat, 01 Jan 2011 00:00:00",Apartamento,2,34
197,"Sat, 01 Jan 2011 00:00:00",Hotel,1,24
198,"Sat, 01 Jan 2011 00:00:00",Hotel,8,191
198,"Sat, 01 Jan 2011 00:00:00",Camping,1,608
198,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,14
198,"Sat, 01 Jan 2011 00:00:00",Apartamento,3,33
200,"Sat, 01 Jan 2011 00:00:00",Hotel,1,9
200,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,9
201,"Sat, 01 Jan 2011 00:00:00",Hotel,7,208
201,"Sat, 01 Jan 2011 00:00:00",Camping,1,525
201,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,25
202,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,10
204,"Sat, 01 Jan 2011 00:00:00",TurismoRural,4,30
204,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,10
205,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
206,"Sat, 01 Jan 2011 00:00:00",Hotel,1,16
208,"Sat, 01 Jan 2011 00:00:00",TurismoRural,4,35
209,"Sat, 01 Jan 2011 00:00:00",Hotel,4,153
209,"Sat, 01 Jan 2011 00:00:00",Camping,1,102
209,"Sat, 01 Jan 2011 00:00:00",TurismoRural,9,63
209,"Sat, 01 Jan 2011 00:00:00",Apartamento,2,14
210,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
211,"Sat, 01 Jan 2011 00:00:00",TurismoRural,4,31
212,"Sat, 01 Jan 2011 00:00:00",Hotel,1,50
212,"Sat, 01 Jan 2011 00:00:00",TurismoRural,5,32
213,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,14
214,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
215,"Sat, 01 Jan 2011 00:00:00",Hotel,1,10
215,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,12
218,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,17
219,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
220,"Sat, 01 Jan 2011 00:00:00",Camping,1,120
221,"Sat, 01 Jan 2011 00:00:00",Hotel,2,25
221,"Sat, 01 Jan 2011 00:00:00",TurismoRural,4,35
221,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,6
222,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,25
223,"Sat, 01 Jan 2011 00:00:00",Hotel,4,128
223,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,16
223,"Sat, 01 Jan 2011 00:00:00",Apartamento,6,94
224,"Sat, 01 Jan 2011 00:00:00",Hotel,1,11
224,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
225,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,5
226,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,4
227,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,9
230,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,23
231,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,4
232,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,18
236,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,17
