municipio_id,stat_date,poblacion
15,"Thu, 01 Jan 2004 00:00:00",428
15,"Fri, 31 Dec 1909 23:00:00",1007
15,"Wed, 31 Dec 1919 23:00:00",1070
15,"Tue, 31 Dec 1929 23:00:00",1038
15,"Sun, 31 Dec 1939 23:00:00",1071
15,"Sun, 01 Jan 1950 00:00:00",1060
15,"Fri, 01 Jan 1960 00:00:00",990
15,"Thu, 01 Jan 1970 00:00:00",729
15,"Thu, 01 Jan 1981 00:00:00",543
16,"Mon, 01 Jan 1900 00:00:00",353
16,"Tue, 01 Jan 1991 00:00:00",44
16,"Mon, 01 Jan 2001 00:00:00",77
16,"Thu, 01 Jan 2004 00:00:00",73
16,"Fri, 31 Dec 1909 23:00:00",345
16,"Wed, 31 Dec 1919 23:00:00",290
16,"Tue, 31 Dec 1929 23:00:00",267
16,"Sun, 31 Dec 1939 23:00:00",250
16,"Sun, 01 Jan 1950 00:00:00",287
16,"Fri, 01 Jan 1960 00:00:00",248
16,"Thu, 01 Jan 1970 00:00:00",94
16,"Thu, 01 Jan 1981 00:00:00",52
17,"Mon, 01 Jan 1900 00:00:00",3454
17,"Tue, 01 Jan 1991 00:00:00",5522
17,"Mon, 01 Jan 2001 00:00:00",5620
17,"Thu, 01 Jan 2004 00:00:00",6024
17,"Fri, 31 Dec 1909 23:00:00",4082
17,"Wed, 31 Dec 1919 23:00:00",4749
17,"Tue, 31 Dec 1929 23:00:00",5083
17,"Sun, 31 Dec 1939 23:00:00",5805
17,"Sun, 01 Jan 1950 00:00:00",5484
17,"Fri, 01 Jan 1960 00:00:00",5334
17,"Thu, 01 Jan 1970 00:00:00",5181
17,"Thu, 01 Jan 1981 00:00:00",5086
18,"Mon, 01 Jan 1900 00:00:00",471
18,"Tue, 01 Jan 1991 00:00:00",173
18,"Mon, 01 Jan 2001 00:00:00",153
18,"Thu, 01 Jan 2004 00:00:00",143
18,"Fri, 31 Dec 1909 23:00:00",428
18,"Wed, 31 Dec 1919 23:00:00",380
18,"Tue, 31 Dec 1929 23:00:00",441
18,"Sun, 31 Dec 1939 23:00:00",441
18,"Sun, 01 Jan 1950 00:00:00",432
18,"Fri, 01 Jan 1960 00:00:00",394
18,"Thu, 01 Jan 1970 00:00:00",281
18,"Thu, 01 Jan 1981 00:00:00",193
19,"Mon, 01 Jan 1900 00:00:00",634
19,"Tue, 01 Jan 1991 00:00:00",323
19,"Mon, 01 Jan 2001 00:00:00",255
19,"Thu, 01 Jan 2004 00:00:00",250
19,"Fri, 31 Dec 1909 23:00:00",694
19,"Wed, 31 Dec 1919 23:00:00",732
19,"Tue, 31 Dec 1929 23:00:00",786
19,"Sun, 31 Dec 1939 23:00:00",761
19,"Sun, 01 Jan 1950 00:00:00",701
19,"Fri, 01 Jan 1960 00:00:00",626
19,"Thu, 01 Jan 1970 00:00:00",557
19,"Thu, 01 Jan 1981 00:00:00",403
20,"Mon, 01 Jan 1900 00:00:00",1519
20,"Tue, 01 Jan 1991 00:00:00",1149
20,"Mon, 01 Jan 2001 00:00:00",1203
20,"Thu, 01 Jan 2004 00:00:00",1222
20,"Fri, 31 Dec 1909 23:00:00",1636
20,"Wed, 31 Dec 1919 23:00:00",1590
20,"Tue, 31 Dec 1929 23:00:00",1588
20,"Sun, 31 Dec 1939 23:00:00",1616
20,"Sun, 01 Jan 1950 00:00:00",1398
20,"Fri, 01 Jan 1960 00:00:00",1388
20,"Thu, 01 Jan 1970 00:00:00",1262
20,"Thu, 01 Jan 1981 00:00:00",1238
21,"Mon, 01 Jan 1900 00:00:00",4291
21,"Tue, 01 Jan 1991 00:00:00",2449
21,"Mon, 01 Jan 2001 00:00:00",2185
21,"Thu, 01 Jan 2004 00:00:00",2180
21,"Fri, 31 Dec 1909 23:00:00",4537
21,"Wed, 31 Dec 1919 23:00:00",4726
21,"Tue, 31 Dec 1929 23:00:00",4640
21,"Sun, 31 Dec 1939 23:00:00",4367
21,"Sun, 01 Jan 1950 00:00:00",4341
21,"Fri, 01 Jan 1960 00:00:00",3926
21,"Thu, 01 Jan 1970 00:00:00",3044
21,"Thu, 01 Jan 1981 00:00:00",2739
22,"Mon, 01 Jan 1900 00:00:00",464
22,"Tue, 01 Jan 1991 00:00:00",279
22,"Mon, 01 Jan 2001 00:00:00",259
22,"Thu, 01 Jan 2004 00:00:00",253
22,"Fri, 31 Dec 1909 23:00:00",497
