id,name,area,country,major,men,women,ine,comunidad,comarca
592,Sestrica,40.9,Spain,"PINILLA EMBID, MIGUEL",234,218,50243,Aragón,Aranda
593,Sesué,5.2,Spain,"DEMUR DELMAS, JOSE FELIX",72,59,22221,Aragón,La Ribagorza
594,Sierra de Luna,43.4,Spain,"NAUDIN LAMBAN, MARIA LUISA",130,120,50244,Aragón,Cinco Villas
595,Sigüés,101.8,Spain,"SALINAS SAMITIER, DANIEL",90,84,50245,Aragón,La Jacetania
596,Singra,36.7,Spain,"MARTÍN ANDRÉS, MANUEL",44,46,44213,Aragón,Jiloca
597,Sisamón,41.6,Spain,"HERNANDEZ HERNANDEZ, JOSE MARIA",40,25,50246,Aragón,Comunidad de Calatayud
598,Siétamo,49.0,Spain,"FERRANDO LABARTA, JOSE LUIS",254,206,22222,Aragón,Hoya de Huesca/Plana de Uesca
599,Sobradiel,12.1,Spain,"IZAGUERRI AZNAR, JAIME",380,375,50247,Aragón,Ribera Alta del Ebro
600,Sopeira,44.1,Spain,"ARIÑO PALACIN, JOSE Mº",50,53,22223,Aragón,La Ribagorza
601,Sos del Rey Católico,216.6,Spain,"ISO ECHEGOYEN, JESUS MARIA",379,364,50248,Aragón,Cinco Villas
602,Sotonera (La),165.5,Spain,"GUTIERREZ CABRERO, CARMEN",564,510,22904,Aragón,Hoya de Huesca/Plana de Uesca
603,Sádaba,129.5,Spain,"PEREZ IGUAZ, MIGUEL ANGEL",890,874,50230,Aragón,Cinco Villas
604,Sástago,301.0,Spain,"YUSTE GRACIA, JOAQUINA",672,653,50240,Aragón,Ribera Baja del Ebro
605,Tabuenca,85.7,Spain,"LANZAN CHUECA, MARIA ANGELES",259,202,50249,Aragón,Campo de Borja
606,Talamantes,46.9,Spain,"JIMENEZ ARELLANO, JOSE MANUEL",35,24,50250,Aragón,Campo de Borja
607,Tamarite de Litera,110.6,Spain,"MATEO RIVAS, FRANCISCO",1861,1838,22225,Aragón,La Litera/La Llitera
608,Tarazona,244.0,Spain,"BEAMONTE MESA, LUIS MARIA",5180,5491,50251,Aragón,Tarazona y el Moncayo
